model,level,total_message_number,fernandez_huerta_mean,szigriszt_pazos_mean,gutierrez_polini_mean
Mistral 7B Instruct v0.3,A1,1,101.0,97.24,45.83
Mistral 7B Instruct v0.3,A1,2,95.84,91.29,44.17
Mistral 7B Instruct v0.3,A1,3,91.28,87.69,43.17
Mistral 7B Instruct v0.3,A1,4,86.89,83.38,41.41
Mistral 7B Instruct v0.3,A1,5,88.42,84.79,41.56
Mistral 7B Instruct v0.3,A1,6,90.11,86.88,42.35
Mistral 7B Instruct v0.3,A1,7,91.98,87.74,43.18
Mistral 7B Instruct v0.3,A1,8,92.64,89.19,43.31
Mistral 7B Instruct v0.3,A1,9,91.04,87.34,43.21
Mistral 7B Instruct v0.3,B1,1,92.71,89.23,42.66
Mistral 7B Instruct v0.3,B1,2,85.64,82.54,41.06
Mistral 7B Instruct v0.3,B1,3,85.75,82.23,41.02
Mistral 7B Instruct v0.3,B1,4,84.7,80.93,40.14
Mistral 7B Instruct v0.3,B1,5,83.98,79.91,39.99
Mistral 7B Instruct v0.3,B1,6,84.3,80.82,40.48
Mistral 7B Instruct v0.3,B1,7,88.04,83.81,41.61
Mistral 7B Instruct v0.3,B1,8,88.02,84.35,42.1
Mistral 7B Instruct v0.3,B1,9,85.92,82.46,41.38
Mistral 7B Instruct v0.3,C1,1,85.42,81.12,39.24
Mistral 7B Instruct v0.3,C1,2,77.73,74.5,37.32
Mistral 7B Instruct v0.3,C1,3,76.55,72.77,36.73
Mistral 7B Instruct v0.3,C1,4,77.22,73.72,37.58
Mistral 7B Instruct v0.3,C1,5,77.93,74.7,37.58
Mistral 7B Instruct v0.3,C1,6,80.29,76.73,38.66
Mistral 7B Instruct v0.3,C1,7,79.26,75.15,37.82
Mistral 7B Instruct v0.3,C1,8,78.96,75.23,38.05
Mistral 7B Instruct v0.3,C1,9,79.1,75.4,37.45
Qwen 2.5 7B Instruct,A1,1,109.01,104.95,51.89
Qwen 2.5 7B Instruct,A1,2,107.54,103.63,50.47
Qwen 2.5 7B Instruct,A1,3,101.34,97.34,48.14
Qwen 2.5 7B Instruct,A1,4,100.5,97.06,46.18
Qwen 2.5 7B Instruct,A1,5,98.36,94.5,45.41
Qwen 2.5 7B Instruct,A1,6,97.77,94.49,45.67
Qwen 2.5 7B Instruct,A1,7,95.82,92.01,44.93
Qwen 2.5 7B Instruct,A1,8,96.67,93.22,44.86
Qwen 2.5 7B Instruct,A1,9,97.55,93.9,44.84
Qwen 2.5 7B Instruct,B1,1,97.06,92.79,49.26
Qwen 2.5 7B Instruct,B1,2,99.87,95.71,47.35
Qwen 2.5 7B Instruct,B1,3,93.02,89.56,43.22
Qwen 2.5 7B Instruct,B1,4,91.33,88.04,42.5
Qwen 2.5 7B Instruct,B1,5,89.81,86.41,41.83
Qwen 2.5 7B Instruct,B1,6,89.02,85.4,41.97
Qwen 2.5 7B Instruct,B1,7,89.23,85.52,42.49
Qwen 2.5 7B Instruct,B1,8,89.19,85.71,42.35
Qwen 2.5 7B Instruct,B1,9,87.55,83.67,42.02
Qwen 2.5 7B Instruct,C1,1,102.32,98.36,49.04
Qwen 2.5 7B Instruct,C1,2,92.58,88.98,43.52
Qwen 2.5 7B Instruct,C1,3,87.13,83.32,40.23
Qwen 2.5 7B Instruct,C1,4,84.05,80.39,39.24
Qwen 2.5 7B Instruct,C1,5,86.87,82.83,39.7
Qwen 2.5 7B Instruct,C1,6,85.4,81.32,39.69
Qwen 2.5 7B Instruct,C1,7,86.19,82.29,40.42
Qwen 2.5 7B Instruct,C1,8,84.62,80.89,39.52
Qwen 2.5 7B Instruct,C1,9,84.41,80.37,39.69
Llama 3.1 8B Instruct,A1,1,108.49,104.93,53.73
Llama 3.1 8B Instruct,A1,2,104.29,100.72,49.72
Llama 3.1 8B Instruct,A1,3,97.6,94.18,47.54
Llama 3.1 8B Instruct,A1,4,94.73,91.07,45.67
Llama 3.1 8B Instruct,A1,5,92.91,89.73,44.65
Llama 3.1 8B Instruct,A1,6,93.66,90.18,44.21
Llama 3.1 8B Instruct,A1,7,91.76,87.68,43.47
Llama 3.1 8B Instruct,A1,8,88.79,85.54,42.82
Llama 3.1 8B Instruct,A1,9,89.72,86.18,43.29
Llama 3.1 8B Instruct,B1,1,101.44,97.98,50.82
Llama 3.1 8B Instruct,B1,2,95.04,91.4,46.1
Llama 3.1 8B Instruct,B1,3,91.12,87.1,43.22
Llama 3.1 8B Instruct,B1,4,85.99,82.39,41.55
Llama 3.1 8B Instruct,B1,5,84.03,80.06,40.42
Llama 3.1 8B Instruct,B1,6,84.43,81.12,41.18
Llama 3.1 8B Instruct,B1,7,84.92,81.34,40.84
Llama 3.1 8B Instruct,B1,8,82.88,79.28,39.89
Llama 3.1 8B Instruct,B1,9,83.67,79.95,40.78
Llama 3.1 8B Instruct,C1,1,98.34,94.49,48.07
Llama 3.1 8B Instruct,C1,2,88.16,84.32,42.45
Llama 3.1 8B Instruct,C1,3,79.58,76.13,38.7
Llama 3.1 8B Instruct,C1,4,77.93,73.95,37.68
Llama 3.1 8B Instruct,C1,5,76.61,72.49,36.89
Llama 3.1 8B Instruct,C1,6,74.13,70.73,36.27
Llama 3.1 8B Instruct,C1,7,72.96,69.14,35.9
Llama 3.1 8B Instruct,C1,8,74.98,71.51,36.77
Llama 3.1 8B Instruct,C1,9,79.14,75.92,38.73
Gemma 3 12B IT,A1,1,106.18,104.09,53.45
Gemma 3 12B IT,A1,2,101.83,98.31,47.94
Gemma 3 12B IT,A1,3,96.98,93.28,45.21
Gemma 3 12B IT,A1,4,95.24,91.7,45.03
Gemma 3 12B IT,A1,5,96.81,93.68,45.87
Gemma 3 12B IT,A1,6,94.58,90.92,44.17
Gemma 3 12B IT,A1,7,96.9,93.33,44.81
Gemma 3 12B IT,A1,8,93.74,89.7,42.86
Gemma 3 12B IT,A1,9,93.19,89.39,42.76
Gemma 3 12B IT,B1,1,105.14,101.61,48.4
Gemma 3 12B IT,B1,2,94.54,91.0,45.31
Gemma 3 12B IT,B1,3,91.32,87.33,43.41
Gemma 3 12B IT,B1,4,89.44,85.6,42.43
Gemma 3 12B IT,B1,5,87.95,84.47,41.36
Gemma 3 12B IT,B1,6,86.87,83.23,40.56
Gemma 3 12B IT,B1,7,88.28,84.48,40.74
Gemma 3 12B IT,B1,8,92.55,88.83,41.37
Gemma 3 12B IT,B1,9,100.54,97.16,42.79
Gemma 3 12B IT,C1,1,89.55,85.88,40.79
Gemma 3 12B IT,C1,2,83.53,79.52,38.6
Gemma 3 12B IT,C1,3,80.05,75.9,38.25
Gemma 3 12B IT,C1,4,76.66,73.0,36.62
Gemma 3 12B IT,C1,5,76.21,72.78,36.35
Gemma 3 12B IT,C1,6,76.0,71.69,35.75
Gemma 3 12B IT,C1,7,77.52,73.69,36.52
Gemma 3 12B IT,C1,8,80.02,75.92,38.36
Gemma 3 12B IT,C1,9,85.04,80.87,37.11
